steps,time_frame,python,cython
1000000,100,1.89667,0.05341
2000000,200,3.86698,0.10934
3000000,300,5.82508,0.15414
4000000,400,7.87735,0.20948
5000000,500,9.60130,0.25177
6000000,600,11.45529,0.30655
7000000,700,13.53962,0.36405
8000000,800,15.70771,0.46431
9000000,900,17.97392,0.47151
10000000,1000,19.69679,0.50116
11000000,1100,21.44339,0.55289
12000000,1200,23.24347,0.60971
13000000,1300,25.54450,0.81678
14000000,1400,27.09441,0.71562
15000000,1500,28.67401,0.75328
16000000,1600,30.45743,0.83042
17000000,1700,33.34327,0.88043
18000000,1800,35.30651,1.19592
19000000,1900,36.58865,0.99993
20000000,2000,38.78949,1.09752
21000000,2100,40.10983,1.06563
22000000,2200,42.68196,1.13239
23000000,2300,44.68927,1.16208
24000000,2400,46.29511,1.23505
25000000,2500,48.34996,1.26398
26000000,2600,50.35213,1.31879
27000000,2700,52.38913,1.35434
28000000,2800,53.83157,1.42231
29000000,2900,56.38682,1.45302
30000000,3000,57.28793,1.51149
31000000,3100,59.43265,1.56957
32000000,3200,61.91204,1.60685
33000000,3300,63.05741,1.66526
34000000,3400,66.66203,1.71818
35000000,3500,67.11862,1.78219
36000000,3600,70.25110,1.86951
37000000,3700,72.10880,1.88108
38000000,3800,73.79915,1.91726
39000000,3900,75.26029,1.98401
40000000,4000,77.24280,2.05422
41000000,4100,79.46512,2.10150
42000000,4200,81.69747,2.11330
43000000,4300,82.86477,2.18647
44000000,4400,85.33735,2.25024
45000000,4500,87.40069,2.25445
46000000,4600,88.29418,2.31275
47000000,4700,92.21702,2.39533
48000000,4800,94.53616,2.45823
49000000,4900,94.49002,2.50723
50000000,5000,94.93535,2.54358
